Source,Target,Type,Id,Label,timeset,Weight
4707,11754,Undirected,13592,,,1
4707,9654,Undirected,13591,,,1
4707,9428,Undirected,13590,,,1
4707,9235,Undirected,13589,,,1
4707,9132,Undirected,13588,,,1
4707,7092,Undirected,13587,,,1
4707,5905,Undirected,13586,,,1
4707,5813,Undirected,13585,,,1
115,4707,Undirected,375,,,1
4263,9428,Undirected,12318,,,1
3868,9428,Undirected,11097,,,1
3396,9428,Undirected,9574,,,1
426,9428,Undirected,1345,,,1
2258,9132,Undirected,6214,,,1
1768,9132,Undirected,4944,,,1
801,9132,Undirected,2352,,,1
426,10126,Undirected,1346,,,1
426,9258,Undirected,1344,,,1
426,7609,Undirected,1343,,,1
426,6087,Undirected,1342,,,1
426,3868,Undirected,1341,,,1
3868,6087,Undirected,11096,,,1
3485,3599,Undirected,9864,,,1
801,11116,Undirected,2354,,,1
801,10800,Undirected,2353,,,1
801,7336,Undirected,2351,,,1
801,7250,Undirected,2350,,,1
801,7237,Undirected,2349,,,1
801,7232,Undirected,2348,,,1
801,7220,Undirected,2347,,,1
801,7034,Undirected,2346,,,1
3651,6171,Undirected,10402,,,1
1267,11116,Undirected,3667,,,1
2258,6139,Undirected,6213,,,1
4589,12773,Undirected,13273,,,1
4589,12424,Undirected,13272,,,1
4589,9704,Undirected,13271,,,1
4589,8886,Undirected,13270,,,1
4589,5013,Undirected,13269,,,1
3396,9427,Undirected,9573,,,1
3396,9338,Undirected,9572,,,1
3396,8389,Undirected,9571,,,1
4955,12392,Undirected,14155,,,1
4955,8965,Undirected,14154,,,1
4955,7555,Undirected,14153,,,1
3651,10310,Undirected,10407,,,1
3651,9994,Undirected,10406,,,1
3651,9842,Undirected,10405,,,1
3651,6194,Undirected,10403,,,1
3651,6137,Undirected,10401,,,1
3651,4978,Undirected,10400,,,1
3202,10414,Undirected,9005,,,1
3202,4821,Undirected,9004,,,1
3202,3599,Undirected,9003,,,1
3202,3485,Undirected,9002,,,1
4821,10414,Undirected,13886,,,1
4888,8385,Undirected,14047,,,1
3599,8965,Undirected,10141,,,1
3599,4955,Undirected,10139,,,1
4955,5013,Undirected,14152,,,1
3599,5013,Undirected,10140,,,1
4978,10310,Undirected,14213,,,1
