Source,Target,Type,Id,Label,timeset,Weight
9,13249,Undirected,12277,,,1
9,12889,Undirected,12276,,,1
9,11835,Undirected,12275,,,1
9,10649,Undirected,12274,,,1
9,9522,Undirected,12273,,,1
9,6932,Undirected,12272,,,1
9,5410,Undirected,12271,,,1
2537,9522,Undirected,18125,,,1
2498,9522,Undirected,18016,,,1
2226,9522,Undirected,17359,,,1
2210,9522,Undirected,17327,,,1
1462,9522,Undirected,15643,,,1
733,9522,Undirected,13978,,,1
2498,11835,Undirected,18022,,,1
2226,11835,Undirected,17363,,,1
2219,11835,Undirected,17347,,,1
1824,11835,Undirected,16478,,,1
3387,12889,Undirected,20265,,,1
2498,12889,Undirected,18027,,,1
2226,12889,Undirected,17367,,,1
2210,12889,Undirected,17333,,,1
733,12889,Undirected,13981,,,1
2498,13249,Undirected,18028,,,1
2226,13249,Undirected,17368,,,1
2210,13249,Undirected,17334,,,1
733,13249,Undirected,13982,,,1
423,12296,Undirected,13310,,,1
423,11784,Undirected,13309,,,1
423,9834,Undirected,13308,,,1
423,5937,Undirected,13307,,,1
2210,5937,Undirected,17325,,,1
1315,5937,Undirected,15357,,,1
2210,9834,Undirected,17328,,,1
1315,9834,Undirected,15359,,,1
2210,12296,Undirected,17331,,,1
1315,12296,Undirected,15361,,,1
2366,11784,Undirected,17729,,,1
2210,11784,Undirected,17330,,,1
1768,11784,Undirected,16374,,,1
1604,11784,Undirected,16030,,,1
1315,11784,Undirected,15360,,,1
6052,9032,Undirected,24580,,,1
2392,9032,Undirected,17791,,,1
1462,9032,Undirected,15639,,,1
625,13064,Undirected,13754,,,1
625,12841,Undirected,13753,,,1
625,11343,Undirected,13752,,,1
625,10891,Undirected,13751,,,1
625,10587,Undirected,13750,,,1
625,10467,Undirected,13749,,,1
625,8507,Undirected,13748,,,1
625,8333,Undirected,13747,,,1
625,8261,Undirected,13746,,,1
625,7494,Undirected,13745,,,1
625,6580,Undirected,13744,,,1
625,5718,Undirected,13743,,,1
1782,5718,Undirected,24577,,,1
1604,5718,Undirected,16025,,,1
1315,5718,Undirected,15356,,,1
1604,7494,Undirected,16027,,,1
1315,7494,Undirected,15358,,,1
1249,8507,Undirected,15214,,,1
4270,10587,Undirected,22741,,,1
1249,12841,Undirected,15220,,,1
1249,13064,Undirected,15223,,,1
733,12756,Undirected,13980,,,1
733,11301,Undirected,13979,,,1
733,8661,Undirected,13977,,,1
2498,8661,Undirected,18015,,,1
2226,8661,Undirected,17358,,,1
2210,8661,Undirected,17326,,,1
1462,8661,Undirected,15638,,,1
2226,11301,Undirected,17361,,,1
2210,11301,Undirected,17329,,,1
2226,12756,Undirected,17365,,,1
2210,12756,Undirected,17332,,,1
856,12847,Undirected,14251,,,1
856,12596,Undirected,14250,,,1
856,11036,Undirected,14249,,,1
856,5760,Undirected,14248,,,1
1604,11036,Undirected,16028,,,1
1249,12929,Undirected,15222,,,1
1249,12919,Undirected,15221,,,1
1249,12248,Undirected,15219,,,1
1249,11218,Undirected,15218,,,1
1249,9816,Undirected,15217,,,1
1249,9724,Undirected,15216,,,1
1249,9226,Undirected,15215,,,1
1249,8427,Undirected,15213,,,1
1249,7515,Undirected,15212,,,1
1249,7449,Undirected,15211,,,1
1249,7387,Undirected,15210,,,1
1249,7297,Undirected,15209,,,1
1249,6670,Undirected,15208,,,1
1249,6556,Undirected,15207,,,1
1462,12749,Undirected,15649,,,1
1462,12674,Undirected,15648,,,1
1462,11442,Undirected,15647,,,1
1462,11261,Undirected,15646,,,1
1462,10822,Undirected,15645,,,1
1462,10680,Undirected,15644,,,1
1462,9509,Undirected,15642,,,1
1462,9283,Undirected,15641,,,1
1462,9234,Undirected,15640,,,1
1462,8262,Undirected,15637,,,1
1462,8209,Undirected,15636,,,1
1462,8116,Undirected,15635,,,1
1462,6797,Undirected,15634,,,1
1462,6527,Undirected,15633,,,1
1462,5842,Undirected,15632,,,1
2392,10680,Undirected,17792,,,1
2537,10822,Undirected,18126,,,1
2498,10822,Undirected,18017,,,1
2498,11442,Undirected,18020,,,1
1604,11442,Undirected,16029,,,1
1604,12479,Undirected,16033,,,1
1604,12204,Undirected,16032,,,1
1604,11840,Undirected,16031,,,1
1604,5720,Undirected,16026,,,1
1604,5034,Undirected,16024,,,1
1736,7014,Undirected,16294,,,1
2498,7014,Undirected,18012,,,1
2226,12825,Undirected,17366,,,1
2226,12476,Undirected,17364,,,1
2226,11574,Undirected,17362,,,1
2226,9701,Undirected,17360,,,1
2226,8321,Undirected,17357,,,1
2226,7812,Undirected,17356,,,1
2226,6903,Undirected,17355,,,1
2226,6893,Undirected,17354,,,1
2498,12476,Undirected,18026,,,1
2498,12267,Undirected,18025,,,1
