Source,Target,Type,Id,Label,timeset,Weight
1,187,Undirected,0,,,1
2,163,Undirected,1,,,1
2,196,Undirected,2,,,1
3,231,Undirected,3,,,1
3,247,Undirected,4,,,1
5,15,Undirected,5,,,1
5,257,Undirected,6,,,1
5,267,Undirected,7,,,1
7,73,Undirected,8,,,1
11,316,Undirected,9,,,1
13,216,Undirected,10,,,1
14,201,Undirected,11,,,1
15,3,Undirected,12,,,1
16,21,Undirected,13,,,1
17,181,Undirected,14,,,1
18,148,Undirected,15,,,1
18,167,Undirected,16,,,1
19,170,Undirected,17,,,1
20,139,Undirected,18,,,1
23,242,Undirected,19,,,1
23,286,Undirected,20,,,1
24,323,Undirected,21,,,1
27,322,Undirected,22,,,1
28,180,Undirected,23,,,1
31,290,Undirected,24,,,1
33,162,Undirected,25,,,1
34,38,Undirected,26,,,1
34,51,Undirected,27,,,1
34,148,Undirected,28,,,1
34,149,Undirected,29,,,1
35,55,Undirected,30,,,1
36,37,Undirected,31,,,1
36,141,Undirected,32,,,1
41,254,Undirected,33,,,1
42,194,Undirected,34,,,1
43,159,Undirected,35,,,1
43,301,Undirected,36,,,1
44,151,Undirected,37,,,1
45,301,Undirected,38,,,1
46,134,Undirected,39,,,1
46,276,Undirected,40,,,1
47,127,Undirected,41,,,1
49,160,Undirected,42,,,1
50,263,Undirected,43,,,1
50,288,Undirected,44,,,1
50,291,Undirected,45,,,1
52,243,Undirected,46,,,1
57,217,Undirected,47,,,1
58,172,Undirected,48,,,1
59,38,Undirected,49,,,1
59,140,Undirected,50,,,1
61,53,Undirected,51,,,1
62,164,Undirected,52,,,1
63,39,Undirected,53,,,1
64,204,Undirected,54,,,1
66,280,Undirected,55,,,1
67,265,Undirected,56,,,1
67,280,Undirected,57,,,1
68,78,Undirected,58,,,1
69,279,Undirected,59,,,1
70,312,Undirected,60,,,1
71,209,Undirected,61,,,1
71,230,Undirected,62,,,1
74,213,Undirected,63,,,1
75,209,Undirected,64,,,1
75,230,Undirected,65,,,1
76,78,Undirected,66,,,1
77,255,Undirected,67,,,1
79,88,Undirected,68,,,1
81,119,Undirected,69,,,1
83,82,Undirected,70,,,1
84,305,Undirected,71,,,1
85,185,Undirected,72,,,1
85,280,Undirected,73,,,1
86,143,Undirected,74,,,1
87,182,Undirected,75,,,1
88,270,Undirected,76,,,1
89,115,Undirected,77,,,1
89,215,Undirected,78,,,1
89,228,Undirected,79,,,1
90,96,Undirected,80,,,1
90,115,Undirected,81,,,1
90,121,Undirected,82,,,1
90,125,Undirected,83,,,1
90,281,Undirected,84,,,1
90,297,Undirected,85,,,1
91,144,Undirected,86,,,1
92,284,Undirected,87,,,1
93,227,Undirected,88,,,1
93,318,Undirected,89,,,1
95,135,Undirected,90,,,1
95,202,Undirected,91,,,1
95,209,Undirected,92,,,1
95,222,Undirected,93,,,1
95,280,Undirected,94,,,1
97,106,Undirected,95,,,1
97,315,Undirected,96,,,1
99,10,Undirected,97,,,1
100,191,Undirected,98,,,1
104,116,Undirected,99,,,1
105,191,Undirected,100,,,1
106,315,Undirected,101,,,1
107,22,Undirected,102,,,1
107,287,Undirected,103,,,1
108,313,Undirected,104,,,1
109,243,Undirected,105,,,1
109,314,Undirected,106,,,1
110,133,Undirected,107,,,1
