Source,Target,Type,Id,Label,timeset,Weight
9,40071,Undirected,65561,,,1
9,38915,Undirected,65560,,,1
9,35746,Undirected,65559,,,1
9,31787,Undirected,65558,,,1
9,28557,Undirected,65557,,,1
9,22640,Undirected,65556,,,1
10874,22640,Undirected,84026,,,1
2537,28557,Undirected,71059,,,1
2498,28557,Undirected,70957,,,1
2226,28557,Undirected,70344,,,1
2210,28557,Undirected,70313,,,1
1462,28557,Undirected,68728,,,1
733,28557,Undirected,67171,,,1
10874,31787,Undirected,84027,,,1
2498,35746,Undirected,70963,,,1
2226,35746,Undirected,70348,,,1
2219,35746,Undirected,70332,,,1
1824,35746,Undirected,69519,,,1
3387,38915,Undirected,73052,,,1
2498,38915,Undirected,70968,,,1
2226,38915,Undirected,70352,,,1
2210,38915,Undirected,70319,,,1
733,38915,Undirected,67174,,,1
2498,40071,Undirected,70969,,,1
2226,40071,Undirected,70353,,,1
2210,40071,Undirected,70320,,,1
733,40071,Undirected,67175,,,1
423,37077,Undirected,66548,,,1
423,35560,Undirected,66547,,,1
423,29392,Undirected,66546,,,1
423,21031,Undirected,66545,,,1
12123,21031,Undirected,85493,,,1
12122,21031,Undirected,85492,,,1
10397,21031,Undirected,83507,,,1
2210,21031,Undirected,70311,,,1
1315,21031,Undirected,68461,,,1
2210,29392,Undirected,70314,,,1
1315,29392,Undirected,68463,,,1
6140,35560,Undirected,78366,,,1
5100,35560,Undirected,77086,,,1
2366,35560,Undirected,70688,,,1
2210,35560,Undirected,70316,,,1
1768,35560,Undirected,69419,,,1
1604,35560,Undirected,69098,,,1
1315,35560,Undirected,68464,,,1
2210,37077,Undirected,70317,,,1
1315,37077,Undirected,68465,,,1
613,27268,Undirected,66936,,,1
613,21376,Undirected,66935,,,1
613,20977,Undirected,66934,,,1
2392,27268,Undirected,70741,,,1
1462,27268,Undirected,68724,,,1
5100,20441,Undirected,77082,,,1
1604,20441,Undirected,69093,,,1
1315,20441,Undirected,68460,,,1
1604,23343,Undirected,69095,,,1
1315,23343,Undirected,68462,,,1
733,38574,Undirected,67173,,,1
733,33810,Undirected,67172,,,1
733,26086,Undirected,67170,,,1
2498,26086,Undirected,70956,,,1
2226,26086,Undirected,70343,,,1
2210,26086,Undirected,70312,,,1
1462,26086,Undirected,68723,,,1
2226,33810,Undirected,70346,,,1
2210,33810,Undirected,70315,,,1
2226,38574,Undirected,70350,,,1
2210,38574,Undirected,70318,,,1
5100,32899,Undirected,77084,,,1
1604,32899,Undirected,69096,,,1
13659,37749,Undirected,87365,,,1
1462,38557,Undirected,68734,,,1
1462,38312,Undirected,68733,,,1
1462,34353,Undirected,68732,,,1
1462,33660,Undirected,68731,,,1
1462,32290,Undirected,68730,,,1
1462,31901,Undirected,68729,,,1
1462,28518,Undirected,68727,,,1
1462,27885,Undirected,68726,,,1
1462,27767,Undirected,68725,,,1
1462,25062,Undirected,68722,,,1
1462,24919,Undirected,68721,,,1
1462,24589,Undirected,68720,,,1
1462,22389,Undirected,68719,,,1
1462,21960,Undirected,68718,,,1
1462,20901,Undirected,68717,,,1
2392,31901,Undirected,70742,,,1
2537,32290,Undirected,71060,,,1
2498,32290,Undirected,70958,,,1
5100,34353,Undirected,77085,,,1
2498,34353,Undirected,70961,,,1
1604,34353,Undirected,69097,,,1
1604,37649,Undirected,69101,,,1
1604,36822,Undirected,69100,,,1
1604,35765,Undirected,69099,,,1
1604,20446,Undirected,69094,,,1
5100,20446,Undirected,77083,,,1
5100,35765,Undirected,77087,,,1
5100,36822,Undirected,77088,,,1
5100,37649,Undirected,77089,,,1
1736,22738,Undirected,69347,,,1
2498,22738,Undirected,70953,,,1
2226,38742,Undirected,70351,,,1
2226,37638,Undirected,70349,,,1
2226,34868,Undirected,70347,,,1
2226,29037,Undirected,70345,,,1
2226,25194,Undirected,70342,,,1
2226,23824,Undirected,70341,,,1
2226,22564,Undirected,70340,,,1
2226,22537,Undirected,70339,,,1
2498,37638,Undirected,70967,,,1
2498,37009,Undirected,70966,,,1
2498,36991,Undirected,70965,,,1
2498,36989,Undirected,70964,,,1
2498,34980,Undirected,70962,,,1
2498,33231,Undirected,70960,,,1
2498,33055,Undirected,70959,,,1
2498,25190,Undirected,70955,,,1
2498,22782,Undirected,70954,,,1
2498,22609,Undirected,70952,,,1
2498,21698,Undirected,70951,,,1
2498,21201,Undirected,70950,,,1
2537,21698,Undirected,71057,,,1
2537,25190,Undirected,71058,,,1
2537,36989,Undirected,71061,,,1
2537,36991,Undirected,71062,,,1
3387,24546,Undirected,73051,,,1
10397,35409,Undirected,83509,,,1
10397,35141,Undirected,83508,,,1
12115,35141,Undirected,85485,,,1
12667,35409,Undirected,86137,,,1
21,35113,Undirected,65575,,,1
21,29193,Undirected,65574,,,1
21,27721,Undirected,65573,,,1
21,25202,Undirected,65572,,,1
21,21430,Undirected,65571,,,1
5064,21430,Undirected,77025,,,1
4968,21430,Undirected,76875,,,1
4963,21430,Undirected,76852,,,1
4726,21430,Undirected,76400,,,1
4498,21430,Undirected,75867,,,1
4349,21430,Undirected,75499,,,1
4283,21430,Undirected,75378,,,1
4153,21430,Undirected,74970,,,1
4015,21430,Undirected,74567,,,1
3805,21430,Undirected,74088,,,1
3765,21430,Undirected,73984,,,1
3624,21430,Undirected,73621,,,1
3406,21430,Undirected,73147,,,1
3389,21430,Undirected,73074,,,1
3170,21430,Undirected,72593,,,1
3114,21430,Undirected,72472,,,1
3078,21430,Undirected,72371,,,1
2633,21430,Undirected,71278,,,1
2114,21430,Undirected,70088,,,1
1486,21430,Undirected,68801,,,1
1121,21430,Undirected,68093,,,1
971,21430,Undirected,67699,,,1
758,21430,Undirected,67220,,,1
4968,25202,Undirected,76877,,,1
3624,25202,Undirected,73623,,,1
3406,25202,Undirected,73156,,,1
3393,25202,Undirected,73119,,,1
3114,25202,Undirected,72473,,,1
2114,25202,Undirected,70093,,,1
1486,25202,Undirected,68803,,,1
1121,25202,Undirected,68097,,,1
4153,27721,Undirected,74973,,,1
3406,27721,Undirected,73163,,,1
4364,29193,Undirected,75596,,,1
4186,29193,Undirected,75089,,,1
4153,29193,Undirected,74974,,,1
4025,29193,Undirected,74670,,,1
1102,29193,Undirected,68051,,,1
4378,35113,Undirected,75637,,,1
4153,35113,Undirected,74981,,,1
3624,35113,Undirected,73651,,,1
3560,35113,Undirected,73499,,,1
3406,35113,Undirected,73189,,,1
3394,35113,Undirected,73126,,,1
3288,35113,Undirected,72846,,,1
1019,35113,Undirected,67858,,,1
45,35706,Undirected,65628,,,1
45,28908,Undirected,65627,,,1
45,27768,Undirected,65626,,,1
45,25307,Undirected,65625,,,1
45,21208,Undirected,65624,,,1
45,20995,Undirected,65623,,,1
4707,20995,Undirected,76355,,,1
4580,20995,Undirected,76027,,,1
3766,20995,Undirected,74003,,,1
2744,20995,Undirected,71637,,,1
4886,21208,Undirected,76743,,,1
4450,21208,Undirected,75767,,,1
4185,21208,Undirected,75071,,,1
4155,21208,Undirected,75004,,,1
3766,21208,Undirected,74006,,,1
3658,21208,Undirected,73781,,,1
1601,21208,Undirected,69085,,,1
4450,25307,Undirected,75768,,,1
4190,25307,Undirected,75098,,,1
4185,25307,Undirected,75074,,,1
3766,25307,Undirected,74007,,,1
3658,25307,Undirected,73783,,,1
4826,27768,Undirected,76628,,,1
4707,27768,Undirected,76358,,,1
4594,27768,Undirected,76095,,,1
4584,27768,Undirected,76051,,,1
4580,27768,Undirected,76029,,,1
4272,27768,Undirected,75345,,,1
4044,27768,Undirected,74729,,,1
3632,27768,Undirected,73726,,,1
3388,27768,Undirected,73061,,,1
3231,27768,Undirected,72759,,,1
3170,27768,Undirected,72603,,,1
2744,27768,Undirected,71638,,,1
1043,27768,Undirected,67939,,,1
1019,27768,Undirected,67851,,,1
971,27768,Undirected,67714,,,1
969,27768,Undirected,67679,,,1
758,27768,Undirected,67234,,,1
441,27768,Undirected,66582,,,1
115,27768,Undirected,65839,,,1
4450,35706,Undirected,75769,,,1
4185,35706,Undirected,75078,,,1
3766,35706,Undirected,74012,,,1
3658,35706,Undirected,73787,,,1
4826,28057,Undirected,76629,,,1
4594,28057,Undirected,76096,,,1
4364,28057,Undirected,75594,,,1
4186,28057,Undirected,75088,,,1
4025,28057,Undirected,74667,,,1
3834,28057,Undirected,74164,,,1
3801,28057,Undirected,74078,,,1
3104,28057,Undirected,72448,,,1
2515,28057,Undirected,71007,,,1
1122,28057,Undirected,68109,,,1
1102,28057,Undirected,68050,,,1
115,37640,Undirected,65857,,,1
115,37215,Undirected,65856,,,1
115,36999,Undirected,65855,,,1
115,36286,Undirected,65854,,,1
115,35684,Undirected,65853,,,1
115,35469,Undirected,65852,,,1
115,34605,Undirected,65851,,,1
115,33200,Undirected,65850,,,1
115,32627,Undirected,65849,,,1
115,31201,Undirected,65848,,,1
115,31174,Undirected,65847,,,1
115,29427,Undirected,65846,,,1
115,29135,Undirected,65845,,,1
115,28429,Undirected,65843,,,1
115,28398,Undirected,65842,,,1
115,28351,Undirected,65841,,,1
115,28329,Undirected,65840,,,1
115,27522,Undirected,65838,,,1
115,26346,Undirected,65837,,,1
115,25511,Undirected,65836,,,1
115,22895,Undirected,65835,,,1
115,22832,Undirected,65834,,,1
115,22799,Undirected,65833,,,1
115,22757,Undirected,65832,,,1
115,22399,Undirected,65831,,,1
115,21211,Undirected,65830,,,1
115,21035,Undirected,65829,,,1
115,20816,Undirected,65828,,,1
4707,20816,Undirected,76354,,,1
4824,21035,Undirected,76611,,,1
4594,21035,Undirected,76083,,,1
4584,21035,Undirected,76043,,,1
4349,21035,Undirected,75498,,,1
4283,21035,Undirected,75377,,,1
4272,21035,Undirected,75339,,,1
4044,21035,Undirected,74723,,,1
3765,21035,Undirected,73983,,,1
3632,21035,Undirected,73721,,,1
3389,21035,Undirected,73073,,,1
3231,21035,Undirected,72753,,,1
3200,21035,Undirected,72693,,,1
3170,21035,Undirected,72590,,,1
3078,21035,Undirected,72369,,,1
2633,21035,Undirected,71277,,,1
758,21035,Undirected,67217,,,1
441,21035,Undirected,66575,,,1
4826,21211,Undirected,76620,,,1
4186,21211,Undirected,75081,,,1
4025,21211,Undirected,74660,,,1
4594,22399,Undirected,76084,,,1
4584,22399,Undirected,76044,,,1
4272,22399,Undirected,75340,,,1
4044,22399,Undirected,74724,,,1
3632,22399,Undirected,73722,,,1
3388,22399,Undirected,73054,,,1
3231,22399,Undirected,72754,,,1
3230,22399,Undirected,72737,,,1
1132,22399,Undirected,68133,,,1
441,22399,Undirected,66576,,,1
4594,22757,Undirected,76085,,,1
4584,22757,Undirected,76045,,,1
4349,22757,Undirected,75500,,,1
4283,22757,Undirected,75379,,,1
4272,22757,Undirected,75341,,,1
4185,22757,Undirected,75072,,,1
4044,22757,Undirected,74725,,,1
3765,22757,Undirected,73985,,,1
3762,22757,Undirected,73966,,,1
3632,22757,Undirected,73723,,,1
3389,22757,Undirected,73075,,,1
3388,22757,Undirected,73055,,,1
3231,22757,Undirected,72755,,,1
3230,22757,Undirected,72738,,,1
3170,22757,Undirected,72594,,,1
3078,22757,Undirected,72372,,,1
2633,22757,Undirected,71279,,,1
758,22757,Undirected,67223,,,1
441,22757,Undirected,66577,,,1
4826,22799,Undirected,76622,,,1
4824,22799,Undirected,76612,,,1
4594,22799,Undirected,76087,,,1
4498,22799,Undirected,75868,,,1
4283,22799,Undirected,75380,,,1
4272,22799,Undirected,75342,,,1
4044,22799,Undirected,74726,,,1
4017,22799,Undirected,74626,,,1
4015,22799,Undirected,74569,,,1
3624,22799,Undirected,73622,,,1
3406,22799,Undirected,73151,,,1
3388,22799,Undirected,73057,,,1
3230,22799,Undirected,72740,,,1
3200,22799,Undirected,72695,,,1
3170,22799,Undirected,72595,,,1
3078,22799,Undirected,72373,,,1
3029,22799,Undirected,72246,,,1
2677,22799,Undirected,71460,,,1
2634,22799,Undirected,71314,,,1
2590,22799,Undirected,71153,,,1
2144,22799,Undirected,70174,,,1
2114,22799,Undirected,70089,,,1
1132,22799,Undirected,68134,,,1
971,22799,Undirected,67701,,,1
969,22799,Undirected,67677,,,1
758,22799,Undirected,67224,,,1
441,22799,Undirected,66579,,,1
185,22799,Undirected,65978,,,1
4963,22832,Undirected,76854,,,1
4707,22832,Undirected,76356,,,1
4584,22832,Undirected,76046,,,1
4154,22832,Undirected,74989,,,1
4015,22832,Undirected,74570,,,1
3838,22832,Undirected,74178,,,1
3658,22832,Undirected,73782,,,1
3388,22832,Undirected,73058,,,1
3231,22832,Undirected,72756,,,1
3200,22832,Undirected,72696,,,1
3104,22832,Undirected,72446,,,1
3078,22832,Undirected,72374,,,1
2634,22832,Undirected,71315,,,1
2114,22832,Undirected,70090,,,1
