Source,Target,Type,Id,Label,timeset,Weight
1889,25322,Undirected,69653,,,1
1889,25297,Undirected,69652,,,1
12766,29125,Undirected,86242,,,1
12240,33637,Undirected,85604,,,1
11847,36359,Undirected,85156,,,1
11847,29547,Undirected,85155,,,1
11847,24264,Undirected,85154,,,1
11847,24213,Undirected,85153,,,1
11847,24057,Undirected,85152,,,1
10846,32461,Undirected,83996,,,1
10846,32127,Undirected,83995,,,1
10846,24543,Undirected,83994,,,1
10846,24405,Undirected,83993,,,1
12240,38059,Undirected,85606,,,1
12240,34931,Undirected,85605,,,1
16108,29125,Undirected,90671,,,1
16108,29547,Undirected,90672,,,1
7296,33637,Undirected,80025,,,1
7296,28087,Undirected,80024,,,1
7296,25735,Undirected,80023,,,1
16108,24057,Undirected,90662,,,1
16108,36359,Undirected,90678,,,1
12240,25322,Undirected,85603,,,1
10386,25322,Undirected,83496,,,1
12650,25735,Undirected,86107,,,1
16119,35118,Undirected,90693,,,1
16108,36016,Undirected,90676,,,1
16108,35251,Undirected,90675,,,1
16108,35118,Undirected,90674,,,1
16108,30978,Undirected,90673,,,1
16108,26518,Undirected,90670,,,1
16108,25976,Undirected,90669,,,1
16108,24489,Undirected,90668,,,1
16108,24265,Undirected,90666,,,1
16108,24163,Undirected,90663,,,1
16108,24264,Undirected,90665,,,1
15054,24264,Undirected,89310,,,1
15956,31855,Undirected,90432,,,1
15956,23898,Undirected,90430,,,1
13604,32127,Undirected,87287,,,1
12402,32127,Undirected,85817,,,1
12145,32127,Undirected,85514,,,1
11838,28500,Undirected,85142,,,1
15830,32532,Undirected,90249,,,1
12650,30128,Undirected,86108,,,1
12240,25297,Undirected,85602,,,1
15699,24016,Undirected,90098,,,1
15956,24405,Undirected,90431,,,1
12402,24405,Undirected,85814,,,1
10888,24405,Undirected,84038,,,1
10429,32494,Undirected,83552,,,1
10429,26133,Undirected,83551,,,1
15699,32494,Undirected,90100,,,1
15131,32494,Undirected,89403,,,1
13876,32494,Undirected,87692,,,1
12430,32494,Undirected,85855,,,1
12261,32494,Undirected,85633,,,1
11838,32494,Undirected,85143,,,1
10782,32494,Undirected,83919,,,1
10626,32494,Undirected,83746,,,1
16108,23898,Undirected,90661,,,1
16108,24213,Undirected,90664,,,1
15830,24213,Undirected,90248,,,1
6482,27519,Undirected,78854,,,1
6315,27519,Undirected,78573,,,1
6315,24611,Undirected,78572,,,1
9052,32207,Undirected,82028,,,1
8059,32207,Undirected,80851,,,1
8024,32207,Undirected,80812,,,1
6945,32207,Undirected,79536,,,1
7078,38874,Undirected,79710,,,1
7078,38304,Undirected,79709,,,1
7078,35039,Undirected,79708,,,1
7078,27743,Undirected,79707,,,1
7078,24988,Undirected,79706,,,1
7078,24943,Undirected,79705,,,1
9789,32493,Undirected,82873,,,1
7835,32493,Undirected,80618,,,1
5826,39592,Undirected,77996,,,1
5826,38035,Undirected,77994,,,1
5826,36812,Undirected,77993,,,1
5826,31087,Undirected,77991,,,1
5826,28120,Undirected,77990,,,1
6197,31087,Undirected,78436,,,1
7166,30088,Undirected,79845,,,1
7835,38973,Undirected,80623,,,1
7835,23954,Undirected,80616,,,1
9913,38217,Undirected,83010,,,1
7835,38217,Undirected,80622,,,1
6275,33656,Undirected,78518,,,1
9443,28120,Undirected,82494,,,1
8059,28120,Undirected,80848,,,1
6511,28120,Undirected,78900,,,1
6275,28120,Undirected,78517,,,1
6197,28120,Undirected,78435,,,1
6782,33742,Undirected,79297,,,1
6782,23954,Undirected,79296,,,1
12362,27743,Undirected,85746,,,1
12066,27743,Undirected,85404,,,1
10795,27743,Undirected,83943,,,1
8024,27743,Undirected,80809,,,1
12543,28086,Undirected,85975,,,1
12373,28086,Undirected,85773,,,1
12192,28086,Undirected,85552,,,1
12066,28086,Undirected,85405,,,1
11978,28086,Undirected,85285,,,1
6497,34321,Undirected,78880,,,1
6497,31564,Undirected,78879,,,1
7278,39844,Undirected,79994,,,1
6764,39844,Undirected,79253,,,1
6497,39844,Undirected,78883,,,1
6197,39844,Undirected,78440,,,1
5826,39844,Undirected,77997,,,1
6200,38864,Undirected,78444,,,1
6200,32248,Undirected,78442,,,1
6200,31449,Undirected,78441,,,1
7406,32927,Undirected,80159,,,1
6497,38344,Undirected,78882,,,1
5826,38344,Undirected,77995,,,1
6933,38526,Undirected,79517,,,1
5671,31814,Undirected,77799,,,1
5671,31046,Undirected,77798,,,1
6613,39364,Undirected,79013,,,1
6613,38217,Undirected,79011,,,1
6613,34924,Undirected,79010,,,1
6613,33998,Undirected,79009,,,1
6613,27029,Undirected,79008,,,1
8059,32157,Undirected,80850,,,1
7164,30088,Undirected,79840,,,1
6318,38864,Undirected,78583,,,1
7166,30787,Undirected,79846,,,1
7164,30787,Undirected,79841,,,1
6943,30787,Undirected,79531,,,1
6380,30787,Undirected,78694,,,1
12192,25781,Undirected,85551,,,1
12066,25781,Undirected,85403,,,1
9913,39592,Undirected,83012,,,1
7835,39592,Undirected,80624,,,1
6318,39592,Undirected,78584,,,1
6200,39592,Undirected,78445,,,1
6197,39592,Undirected,78439,,,1
7336,25703,Undirected,80076,,,1
5579,34554,Undirected,77679,,,1
5579,33961,Undirected,77678,,,1
8024,32157,Undirected,80811,,,1
8024,28909,Undirected,80810,,,1
11293,28086,Undirected,84522,,,1
5821,39844,Undirected,77984,,,1
5821,38344,Undirected,77983,,,1
5821,29009,Undirected,77981,,,1
5821,25706,Undirected,77980,,,1
6760,33534,Undirected,79249,,,1
7406,31449,Undirected,80158,,,1
6318,31449,Undirected,78580,,,1
5707,34500,Undirected,77844,,,1
5707,30787,Undirected,77843,,,1
6197,36812,Undirected,78437,,,1
6197,38035,Undirected,78438,,,1
6497,25706,Undirected,78877,,,1
6031,25706,Undirected,78243,,,1
5826,25706,Undirected,77989,,,1
7336,31028,Undirected,80077,,,1
6511,25703,Undirected,78899,,,1
9366,37339,Undirected,82395,,,1
9443,38526,Undirected,82495,,,1
11978,29471,Undirected,85287,,,1
11978,25781,Undirected,85284,,,1
8023,36970,Undirected,80808,,,1
8023,33242,Undirected,80806,,,1
8023,32121,Undirected,80805,,,1
8023,29288,Undirected,80804,,,1
8023,24443,Undirected,80803,,,1
6945,34554,Undirected,79538,,,1
9366,38706,Undirected,82396,,,1
6613,38706,Undirected,79012,,,1
8059,38975,Undirected,80856,,,1
8059,38565,Undirected,80855,,,1
8059,38426,Undirected,80854,,,1
8059,38294,Undirected,80853,,,1
8059,30337,Undirected,80849,,,1
8059,24901,Undirected,80847,,,1
8059,24842,Undirected,80846,,,1
6380,32927,Undirected,78695,,,1
6380,28085,Undirected,78693,,,1
12066,38263,Undirected,85408,,,1
12066,30529,Undirected,85407,,,1
6945,27443,Undirected,79535,,,1
6945,32786,Undirected,79537,,,1
3308,39842,Undirected,72891,,,1
3308,32786,Undirected,72890,,,1
3308,32207,Undirected,72889,,,1
7406,34500,Undirected,80160,,,1
6943,34500,Undirected,79532,,,1
6497,34500,Undirected,78881,,,1
6318,34500,Undirected,78582,,,1
6206,34500,Undirected,78450,,,1
6200,34500,Undirected,78443,,,1
5826,34500,Undirected,77992,,,1
5821,34500,Undirected,77982,,,1
7079,35268,Undirected,79712,,,1
7079,25067,Undirected,79711,,,1
6943,40069,Undirected,79534,,,1
6943,36797,Undirected,79533,,,1
12373,31447,Undirected,85774,,,1
9913,38973,Undirected,83011,,,1
6945,39842,Undirected,79539,,,1
7835,33742,Undirected,80620,,,1
9789,25064,Undirected,82872,,,1
7835,25064,Undirected,80617,,,1
9789,36419,Undirected,82875,,,1
7835,36419,Undirected,80621,,,1
7271,32248,Undirected,79974,,,1
6760,32248,Undirected,79248,,,1
6318,32248,Undirected,78581,,,1
6315,32248,Undirected,78574,,,1
7569,34810,Undirected,80322,,,1
7569,32493,Undirected,80321,,,1
7569,24417,Undirected,80320,,,1
