OrgFrstDriver,DesFrstDriver
1444691,342575
416538,419552
224752,885609
1374644,855298
1341658,1392852
600675,860434
1315049,621475
1400473,1279365
468835,468823
256933,888917
1304623,1234835
766632,753891
1234630,63410
870885,821599
852361,1278071
1291365,1430061
861161,464743
1465195,1255998
1344709,603594
1420097,1422531
1457996,233719
231709,252283
1253091,507511
593961,1485427
1249576,551063
328690,535302
201779,194726
1441885,1268918
382895,387051
106905,93553
459825,472497
1333501,617983
1416244,764935
739189,838837
1336016,703785
1321907,648046
228438,233044
1436775,1323690
826018,28253
772861,178382
756938,1472489
1409713,310776
565243,727433
1239223,746473
1382383,1342821
717027,717149
1390880,1320609
312351,315021
429573,1471201
78917,1366406
619604,1336298
1457729,1354033
1400200,460805
1416074,92021
220475,220477
375069,842539
859552,548642
1355514,1290355
1429273,1276873
1351127,549392
317499,325935
597801,280549
709717,709718
285500,1350447
42086,37920
527697,962715
1300322,1255723
1304334,1263161
786450,752384
91574,81715
351359,347556
1398614,1466718
730887,520571
43198,74426
545094,1275536
562591,794908
172036,250567
479719,904657
1380351,272823
1327313,1341917
786450,266754
1385309,72192
133204,678015
221856,1393102
1352312,767029
792598,459987
264919,274687
744720,335898
1495981,1251295
493372,1397232
1493998,1285530
184019,772739
745177,1472143
61477,117508
820409,26955
1408243,680292
146163,639329
364450,849009
39610,906591
844583,483919
362170,1252409
343356,332959
1272019,285300
1331144,145570
1491566,134732
102200,100276
528639,534577
599465,608436
1408775,499431
862821,157212
865107,1134649
334600,343011
1465039,1324994
52315,1479380
1283307,1416891
828516,280175
1501817,1391673
146087,58699
1489428,17274
327358,770857
1350988,1359121
726476,789827
28303,68612
1295166,1240606
843136,1319199
907277,755404
463392,1272366
544851,563829
506469,506795
358447,1420205
1353478,1373385
316954,318078
1359599,1476015
1333801,82459
1414395,759741
213126,1293466
178595,844602
1369352,751035
44700,1431366
1387666,292764
392723,1500517
66401,1269884
742621,742597
1372730,1440513
387589,1436622
454987,1490912
261096,279447
1411261,1434467
465753,482153
312737,1371694
27370,862270
884565,807874
39274,1262805
679591,684740
1448526,692264
1283277,633383
732392,299473
680448,407875
1405312,694933
710189,767152
7466,574712
1427905,673250
811796,421434
868484,1350675
1252363,732592
61297,867455
94100,70797
608946,624553
319440,849549
724719,76541
1327340,215311
1301734,1459938
1432229,92240
173030,1233956
1439308,1394202
854334,733356
1439483,51034
369911,368021
582922,120050
840035,243396
243958,1405093
1239082,1237831
756873,650452
1472870,1351008
1392972,1395608
676593,1331789
86965,911162
958880,247093
1396036,1435172
234646,930834
1327340,1442247
543591,827742
1254519,887446
655271,154121
716949,155745
1389557,856110
101430,126504
1401908,945664
740329,1246658
336717,331464
1436127,131393
1241935,631264
1376446,87154
1503435,1259038
825974,90866
1399162,1427998
780208,1261149
130959,61117
860610,822030
1407170,1498490
346488,354675
559157,1424435
746232,1458599
276380,889431
1401160,783216
78320,909554
1441489,250946
1375592,1400452
1306770,15402
737560,213383
98165,103504
259929,1332765
1454572,1294831
1387784,643266
1475756,1290008
1409106,1270226
1333767,363600
1445783,968654
550049,550849
790805,635988
1498174,1409105
35161,46582
533318,1407690
341180,1269875
480859,690973
1237366,345123
1290922,521945
683996,45354
98175,106524
571293,575797
1420079,333976
1456149,1406784
1342540,430019
1287392,469448
1441902,393574
678170,694014
64028,42466
479402,1140346
1312063,1423351
1310985,720319
772861,1447104
968148,457389
766056,83990
350991,347470
644702,1394661
885511,236520
865552,1334733
1502514,1461838
423608,773282
1421821,642317
644745,885470
1287719,1134498
379970,1406992
1379429,856824
974809,1328613
42977,1102814
1335457,1389974
677950,150912
189380,183564
1258805,1292574
1421321,698458
1283054,784318
1340492,45793
1279939,915322
128476,107856
772855,1273223
280106,1448881
629219,1211649
136684,141359
84049,464391
1345982,441011
1451186,589579
905596,154137
764297,600991
1273542,439030
1396618,219637
718834,714652
806862,263095
1242308,96969
163687,123214
1301509,1485586
820053,521682
393866,1418855
927750,767678
556591,797450
325627,311764
1397602,1279577
1338045,152105
1434286,1435020
187417,209559
907881,235657
970404,453605
1344441,696
705326,798426
156701,146759
401330,414905
1341431,142113
214312,841492
917617,1421256
1420948,333752
574621,463230
849948,1493041
657775,919595
1492138,353856
1347875,663933
272172,1072205
531025,17827
421002,433929
1350588,824253
1267694,853370
842122,658737
1366856,1374143
559708,1444365
1319408,1300713
1458732,1354548
44940,500225
1278294,679198
877507,633645
570572,571297
779910,1419522
66728,614739
86917,91433
646302,120040
1314305,399217
504968,1319161
1299344,519501
1247058,831008
339086,337211
1255162,939668
638314,615253
385653,389640
1330857,491936
1376490,1386514
372351,900114
1391376,905582
834957,1273134
433558,1410676
453137,453605
174158,193318
635959,757687
1445173,1311558
680106,1262434
1346273,1338977
842945,689510
1407558,126704
745349,256363
1260354,860945
973116,231972
970629,130107
1355426,1468119
330687,320888
1353758,1382704
1319829,1488949
68639,1254314
683845,676891
775786,1388090
659325,1443169
68132,1469368
142861,820651
684906,140301
998358,1267322
1364501,98250
513296,850639
1244531,1279848
1237836,499104
657737,52232
682670,1342704
887260,314701
1276461,300953
498467,499637
123470,26288
706210,1358224
790572,623115
576131,845371
1391894,1018014
690383,715378
1381305,1382993
803879,803731
1254568,668296
262951,273148
1465607,1467209
22243,867629
651014,1401617
816969,633901
1268151,1297602
629501,968949
1471986,1328516
1424441,61740
1455810,227792
1398290,817096
481401,832083
374575,389669
652281,275618
449446,909794
1316966,972791
1461785,1324415
393594,1493124
136289,1259438
332735,726188
409776,1234307
219802,226678
1270459,1260318
759172,1422817
571002,565127
157471,1347362
128105,136228
73963,776158
723045,1246916
780912,331137
1365382,743482
206941,1406100
1273661,1412112
1379500,338231
41692,1287717
664724,844816
1455343,1479779
121321,1309764
763381,692046
1455008,107682
1230938,1384647
222532,177833
497701,1359865
526758,756681
145916,852448
630097,1387084
227670,1453636
569809,1354663
1261948,299259
725325,711720
1415617,1273098
1485672,814548
1459140,639367
1438946,142770
281450,1384149
876099,26937
50619,613221
233490,145124
641153,798751
832055,1446804
636932,631597
1261012,561893
1268019,1432122
346377,349507
450194,445844
694982,784173
34160,1250545
5077,36609
746031,368364
