Source,Target,Type,Id,Label,timeset,Weight
1,936,Undirected,4061,,,1
1,1093,Undirected,4062,,,1
1,1415,Undirected,4063,,,1
2,360,Undirected,4064,,,1
2,444,Undirected,4065,,,1
2,561,Undirected,4066,,,1
2,882,Undirected,4067,,,1
2,1218,Undirected,4068,,,1
3,562,Undirected,4069,,,1
3,982,Undirected,4070,,,1
3,1178,Undirected,4071,,,1
3,1381,Undirected,4072,,,1
3,1396,Undirected,4073,,,1
4,85,Undirected,4074,,,1
4,846,Undirected,4075,,,1
5,394,Undirected,4076,,,1
5,778,Undirected,4077,,,1
6,352,Undirected,4078,,,1
6,519,Undirected,4079,,,1
6,523,Undirected,4080,,,1
6,559,Undirected,4081,,,1
6,700,Undirected,4082,,,1
6,714,Undirected,4083,,,1
6,729,Undirected,4084,,,1
6,834,Undirected,4085,,,1
6,884,Undirected,4086,,,1
6,973,Undirected,4087,,,1
6,1039,Undirected,4088,,,1
6,1187,Undirected,4089,,,1
6,1216,Undirected,4090,,,1
6,1272,Undirected,4091,,,1
6,1282,Undirected,4092,,,1
6,1287,Undirected,4093,,,1
7,110,Undirected,4094,,,1
7,493,Undirected,4095,,,1
7,615,Undirected,4096,,,1
7,629,Undirected,4097,,,1
7,630,Undirected,4098,,,1
7,635,Undirected,4099,,,1
7,657,Undirected,4100,,,1
7,805,Undirected,4101,,,1
7,815,Undirected,4102,,,1
7,948,Undirected,4103,,,1
7,1395,Undirected,4104,,,1
8,103,Undirected,4105,,,1
8,179,Undirected,4106,,,1
8,516,Undirected,4107,,,1
8,544,Undirected,4108,,,1
8,746,Undirected,4109,,,1
8,849,Undirected,4110,,,1
8,1089,Undirected,4111,,,1
8,1390,Undirected,4112,,,1
9,543,Undirected,4113,,,1
10,18,Undirected,4114,,,1
10,742,Undirected,4115,,,1
10,837,Undirected,4116,,,1
10,976,Undirected,4117,,,1
10,1030,Undirected,4118,,,1
10,1159,Undirected,4119,,,1
11,37,Undirected,4120,,,1
11,77,Undirected,4121,,,1
11,261,Undirected,4122,,,1
11,263,Undirected,4123,,,1
11,264,Undirected,4124,,,1
11,294,Undirected,4125,,,1
11,345,Undirected,4126,,,1
11,349,Undirected,4127,,,1
11,378,Undirected,4128,,,1
11,407,Undirected,4129,,,1
11,409,Undirected,4130,,,1
11,515,Undirected,4131,,,1
11,540,Undirected,4132,,,1
11,596,Undirected,4133,,,1
11,619,Undirected,4134,,,1
11,627,Undirected,4135,,,1
11,637,Undirected,4136,,,1
11,797,Undirected,4137,,,1
11,835,Undirected,4138,,,1
11,887,Undirected,4139,,,1
11,916,Undirected,4140,,,1
11,918,Undirected,4141,,,1
11,921,Undirected,4142,,,1
11,963,Undirected,4143,,,1
11,987,Undirected,4144,,,1
11,1066,Undirected,4145,,,1
11,1068,Undirected,4146,,,1
11,1156,Undirected,4147,,,1
11,1202,Undirected,4148,,,1
11,1236,Undirected,4149,,,1
11,1268,Undirected,4150,,,1
11,1296,Undirected,4151,,,1
11,1303,Undirected,4152,,,1
11,1319,Undirected,4153,,,1
12,1230,Undirected,4154,,,1
13,382,Undirected,4155,,,1
13,390,Undirected,4156,,,1
13,903,Undirected,4157,,,1
13,970,Undirected,4158,,,1
13,1203,Undirected,4159,,,1
14,1160,Undirected,4160,,,1
15,58,Undirected,4161,,,1
15,78,Undirected,4162,,,1
15,574,Undirected,4163,,,1
15,745,Undirected,4164,,,1
15,1335,Undirected,4165,,,1
15,1376,Undirected,4166,,,1
16,444,Undirected,4167,,,1
16,631,Undirected,4168,,,1
17,58,Undirected,4169,,,1
17,78,Undirected,4170,,,1
17,207,Undirected,4171,,,1
17,246,Undirected,4172,,,1
17,250,Undirected,4173,,,1
17,342,Undirected,4174,,,1
17,343,Undirected,4175,,,1
17,344,Undirected,4176,,,1
17,376,Undirected,4177,,,1
17,627,Undirected,4178,,,1
17,794,Undirected,4179,,,1
17,918,Undirected,4180,,,1
17,927,Undirected,4181,,,1
17,950,Undirected,4182,,,1
17,991,Undirected,4183,,,1
17,1125,Undirected,4184,,,1
17,1191,Undirected,4185,,,1
17,1293,Undirected,4186,,,1
18,550,Undirected,4187,,,1
18,837,Undirected,4188,,,1
18,976,Undirected,4189,,,1
18,1115,Undirected,4190,,,1
18,1159,Undirected,4191,,,1
18,1367,Undirected,4192,,,1
19,58,Undirected,4193,,,1
19,78,Undirected,4194,,,1
19,93,Undirected,4195,,,1
