Source,Target,Type,Id,Label,timeset,Weight,Label_copy
1,2,Undirected,390,,,1,
1,17,Undirected,503,,,1,
1,33,Undirected,505,,,1,
1,21,Undirected,502,,,1,
1,16,Undirected,501,,,1,
2,8,Undirected,402,,,1,
2,28,Undirected,523,,,1,
2,24,Undirected,519,,,1,
2,11,Undirected,518,,,1,
3,4,Undirected,395,,,1,
3,13,Undirected,548,,,1,
3,14,Undirected,416,,,1,
3,5,Undirected,547,,,1,
4,8,Undirected,404,,,1,
4,21,Undirected,498,,,1,
5,19,Undirected,552,,,1,
5,21,Undirected,489,,,1,
6,4,Undirected,554,,,1,
6,15,Undirected,556,,,1,
6,10,Undirected,468,,,1,
7,34,Undirected,470,,,1,
7,9,Undirected,491,,,1,
9,19,Undirected,557,,,1,
9,21,Undirected,558,,,1,
10,32,Undirected,507,,,1,
10,30,Undirected,508,,,1,
10,27,Undirected,494,,,1,
13,5,Undirected,484,,,1,
14,29,Undirected,510,,,1,
14,32,Undirected,476,,,1,
14,12,Undirected,485,,,1,
16,18,Undirected,514,,,1,
16,23,Undirected,478,,,1,
16,11,Undirected,479,,,1,
18,12,Undirected,471,,,1,
18,34,Undirected,487,,,1,
19,24,Undirected,515,,,1,
19,3,Undirected,516,,,1,
20,33,Undirected,525,,,1,
20,27,Undirected,524,,,1,
20,17,Undirected,469,,,1,
21,19,Undirected,527,,,1,
21,16,Undirected,526,,,1,
22,18,Undirected,520,,,1,
22,8,Undirected,529,,,1,
23,21,Undirected,530,,,1,
23,19,Undirected,531,,,1,
23,10,Undirected,532,,,1,
24,12,Undirected,536,,,1,
24,3,Undirected,534,,,1,
24,34,Undirected,460,,,1,
25,9,Undirected,541,,,1,
25,34,Undirected,539,,,1,
25,22,Undirected,540,,,1,
26,13,Undirected,543,,,1,
26,17,Undirected,544,,,1,
28,10,Undirected,493,,,1,
29,32,Undirected,439,,,1,
29,28,Undirected,492,,,1,
30,33,Undirected,448,,,1,
31,33,Undirected,449,,,1,
31,24,Undirected,549,,,1,
31,26,Undirected,474,,,1,
32,12,Undirected,499,,,1,
33,6,Undirected,550,,,1,
33,11,Undirected,472,,,1,
34,32,Undirected,559,,,1,
